#,$id,Information society indicator,Geopolitical entity (declaring),"Period of time (a=annual, q=quarterly, m=monthly, d=daily, c=cumulated from January)","Individuals using the Internet, by place of use"
prop,,http://epp.eurostat.ec.europa.eu/def/tin00075#indic_is,http://epp.eurostat.ec.europa.eu/def/tin00075#geo,http://epp.eurostat.ec.europa.eu/def/tin00075#time,http://epp.eurostat.ec.europa.eu/def/tin00075#tin00075
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#CZ,2005,20
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#CZ,2006,31
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#CZ,2007,37
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#CZ,2008,49
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#CZ,2009,53
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#CZ,2010,61
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#CZ,2011,66
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#DK,2002,49
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#DK,2003,63
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#DK,2004,68
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#DK,2005,72
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#DK,2006,77
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#DK,2007,77
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#DK,2008,80
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#DK,2009,82
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#DK,2010,84
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#DK,2011,88
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#DE,2002,39
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#DE,2003,45
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#DE,2004,52
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#DE,2005,57
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#DE,2006,61
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#DE,2007,64
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#DE,2008,69
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#DE,2009,71
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#DE,2010,75
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#DE,2011,77
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#EE,2002,:
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#EE,2003,:
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#EE,2004,32
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#EE,2005,40
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#EE,2006,46
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#EE,2007,53
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#EE,2008,57
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#EE,2009,65
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#EE,2010,68
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#EE,2011,71
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#IE,2002,:
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#IE,2003,21
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#IE,2004,22
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#IE,2005,26
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#IE,2006,36
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#IE,2007,45
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#IE,2008,52
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#IE,2009,56
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#IE,2010,61
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#IE,2011,70
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#EL,2002,8
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#EL,2003,10
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#EL,2004,12
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#EL,2005,14
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#EL,2006,18
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#EL,2007,21
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#EL,2008,27
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#EL,2009,34
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#EL,2010,38
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#EL,2011,45
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#ES,2002,14
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#ES,2003,22
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#ES,2004,26
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#ES,2005,28
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#ES,2006,33
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#ES,2007,38
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#ES,2008,44
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#ES,2009,49
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#ES,2010,54
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#ES,2011,59
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#FR,2002,:
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#FR,2003,:
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#FR,2004,:
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#FR,2005,:
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#FR,2006,35
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#FR,2007,51
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#FR,2008,59
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#FR,2009,64
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#FR,2010,71
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#FR,2011,73
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#IT,2002,20
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#IT,2003,23
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#IT,2004,21
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#IT,2005,24
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#IT,2006,27
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#IT,2007,30
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#IT,2008,33
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#IT,2009,39
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#IT,2010,44
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#IT,2011,48
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#CY,2002,:
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#CY,2003,:
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#CY,2004,22
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#CY,2005,22
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#CY,2006,24
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#CY,2007,27
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#CY,2008,30
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#CY,2009,40
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#CY,2010,44
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#CY,2011,50
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#LV,2002,:
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#LV,2003,:
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#LV,2004,11
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#LV,2005,21
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#LV,2006,31
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#LV,2007,43
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#LV,2008,50
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#LV,2009,56
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#LV,2010,57
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#LV,2011,62
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#LT,2002,:
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#LT,2003,7
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#LT,2004,11
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#LT,2005,16
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#LT,2006,29
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#LT,2007,39
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#LT,2008,45
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#LT,2009,51
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#LT,2010,54
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#LT,2011,59
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#LU,2002,32
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#LU,2003,43
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#LU,2004,59
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#LU,2005,65
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#LU,2006,65
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#LU,2007,72
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#LU,2008,76
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#LU,2009,82
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#LU,2010,88
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#LU,2011,87
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#HU,2002,:
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#HU,2003,:
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#HU,2004,14
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#HU,2005,21
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#HU,2006,29
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#HU,2007,38
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#HU,2008,47
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#HU,2009,52
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#HU,2010,57
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#HU,2011,63
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#MT,2002,:
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#MT,2003,:
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#MT,2004,:
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#MT,2005,30
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#MT,2006,32
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#MT,2007,42
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#MT,2008,45
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#MT,2009,54
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#MT,2010,59
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#MT,2011,66
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#NL,2002,:
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#NL,2003,56
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#NL,2004,61
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#NL,2005,74
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#NL,2006,77
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#NL,2007,82
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#NL,2008,84
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#NL,2009,87
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#NL,2010,89
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#NL,2011,90
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#AT,2002,23
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#AT,2003,30
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#AT,2004,37
